bloque;cfg;config;red;ir;avg;adc;ref;bpm;diff;spo2;ratio;pi_red;pi_ir;dc_red;dc_ir;ret;disc;sat;ready;spo2_score;quality;file
02_ConVacio_130526;12;RED127 IR127 AVG4 ADC16384;127;127;4;16384;;70.38;;99.66;0.4179;0.018;0.0431;25352.8;58181.1;75.81;24.19;0.0;NO;40.0;15.26;raw_BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG012_CONFIG_12_-_B7F_AVG4_ADC16384.csv
02_ConVacio_130526;13;RED95 IR95 AVG1 ADC8192;95;95;1;8192;;76.23;;96.45;0.6159;0.0419;0.068;37780.3;89266.5;97.38;2.62;0.0;NO;55.69;30.89;raw_BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG013_CONFIG_13-B5F_AVG1_ADC8192.csv
02_ConVacio_130526;14;RED95 IR95 AVG1 ADC16384;95;95;1;16384;;71.4;;97.45;0.5728;0.0459;0.0801;18851.9;44700.9;100.0;0.0;0.0;NO;57.0;50.63;raw_BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG014_CONFIG_14-B5F_AVG1_ADC16384.csv
02_ConVacio_130526;15;RED95 IR95 AVG4 ADC8192;95;95;4;8192;;82.85;;98.32;0.5273;0.0505;0.0958;37999.8;89621.7;100.0;0.0;0.0;NO;57.0;39.79;raw_BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG015_CONFIG_15-B5F_AVG4_ADC8192.csv
02_ConVacio_130526;16;RED95 IR95 AVG4 ADC16384;95;95;4;16384;;87.87;;98.66;0.5063;0.0534;0.1054;18783.7;44812.8;100.0;0.0;0.0;NO;57.0;39.74;raw_BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG016_CONFIG_09_-_B5F_AVG4_ADC16384.csv
02_SinVacio_131643;1;RED31 IR31 AVG1 ADC8192;31;31;1;8192;;66.48;;96.96;0.5948;0.0816;0.1372;12616.6;27901.3;89.3;10.7;0.0;NO;64.65;4.76;raw_BLOQUE_16CFG_184_SinVacio_20260602_131643_CFG001_CONFIG_01_-_B1F_AVG1_ADC8192.csv
02_SinVacio_131701;1;RED31 IR31 AVG1 ADC8192;31;31;1;8192;;;;97.35;0.5772;0.1219;0.2112;12742.6;28429.1;100.0;0.0;0.0;SI;70.0;2.53;raw_BLOQUE_16CFG_184_SinVacio_20260602_131701_CFG001_CONFIG_01_-_B1F_AVG1_ADC8192.csv
02_SinVacio_131802;1;RED31 IR31 AVG1 ADC8192;31;31;1;8192;;72.05;;95.98;0.6341;0.0991;0.1562;8995.2;21513.5;100.0;0.0;0.0;SI;70.0;24.71;raw_BLOQUE_16CFG_184_SinVacio_20260602_131802_CFG001_CONFIG_01_-_B1F_AVG1_ADC8192.csv
02_SinVacio_131802;2;RED31 IR31 AVG1 ADC16384;31;31;1;16384;;45.48;;95.47;0.6523;0.1387;0.2126;4292.4;10510.6;97.73;2.27;0.0;SI;68.87;36.57;raw_BLOQUE_16CFG_184_SinVacio_20260602_131802_CFG002_CONFIG_02_-_B1F_AVG1_ADC16384.csv
02_SinVacio_131802;3;RED31 IR31 AVG4 ADC8192;31;31;4;8192;;47.9;;96.26;0.6234;0.1202;0.1928;8633.8;21275.4;100.0;0.0;0.0;SI;70.0;46.51;raw_BLOQUE_16CFG_184_SinVacio_20260602_131802_CFG003_CONFIG_03_-_B1F_AVG4_ADC8192.csv
02_SinVacio_131802;4;RED31 IR31 AVG4 ADC16384;31;31;4;16384;;92.89;;96.94;0.5954;0.1117;0.1876;4193.8;10415.0;97.19;2.81;0.0;SI;68.59;44.82;raw_BLOQUE_16CFG_184_SinVacio_20260602_131802_CFG004_CONFIG_04_-_B1F_AVG4_ADC16384.csv
02_SinVacio_131802;5;RED63 IR63 AVG1 ADC8192;63;63;1;8192;;99.51;;97.85;0.5529;0.1396;0.2526;17455.7;44689.0;96.77;3.23;0.0;SI;68.39;34.02;raw_BLOQUE_16CFG_184_SinVacio_20260602_131802_CFG005_CONFIG_05_-_B3F_AVG1_ADC8192.csv
02_SinVacio_131802;6;RED63 IR63 AVG1 ADC16384;63;63;1;16384;;47.59;;97.98;0.5462;0.0964;0.1764;8445.4;22055.7;100.0;0.0;0.0;SI;70.0;20.22;raw_BLOQUE_16CFG_184_SinVacio_20260602_131802_CFG006_CONFIG_06_-_B3F_AVG1_ADC16384.csv
02_SinVacio_131802;7;RED63 IR63 AVG4 ADC8192;63;63;4;8192;;100.84;;97.73;0.5593;0.0978;0.1749;16792.8;44430.7;100.0;0.0;0.0;SI;70.0;42.84;raw_BLOQUE_16CFG_184_SinVacio_20260602_131802_CFG007_CONFIG_07_-_B3F_AVG4_ADC8192.csv
02_SinVacio_131802;8;RED63 IR63 AVG4 ADC16384;63;63;4;16384;;45.19;;97.45;0.5729;0.0993;0.1733;8171.6;21898.5;100.0;0.0;0.0;SI;70.0;43.21;raw_BLOQUE_16CFG_184_SinVacio_20260602_131802_CFG008_CONFIG_08_-_B3F_AVG4_ADC16384.csv
02_SinVacio_131802;9;RED127 IR127 AVG1 ADC8192;127;127;1;8192;;47.59;;97.06;0.5904;0.0988;0.1674;33375.3;90380.3;100.0;0.0;0.0;SI;70.0;30.27;raw_BLOQUE_16CFG_184_SinVacio_20260602_131802_CFG009_CONFIG_09_-_B7F_AVG1_ADC8192.csv
02_SinVacio_131802;10;RED127 IR127 AVG1 ADC16384;127;127;1;16384;;56.24;;99.66;0.4179;0.0683;0.1635;16026.2;44572.3;93.46;6.54;0.0;NO;60.73;13.94;raw_BLOQUE_16CFG_184_SinVacio_20260602_131802_CFG010_CONFIG_10_-_B7F_AVG1_ADC16384.csv
02_SinVacio_131802;11;RED127 IR127 AVG4 ADC8192;127;127;4;8192;;47.7;;98.04;0.5433;0.092;0.1693;32273.8;89553.7;100.0;0.0;0.0;SI;70.0;42.54;raw_BLOQUE_16CFG_184_SinVacio_20260602_131802_CFG011_CONFIG_11_-_B7F_AVG4_ADC8192.csv
02_SinVacio_131802;12;RED127 IR127 AVG4 ADC16384;127;127;4;16384;;45.38;;97.91;0.5498;0.1034;0.188;15842.9;44576.8;100.0;0.0;0.0;SI;70.0;45.11;raw_BLOQUE_16CFG_184_SinVacio_20260602_131802_CFG012_CONFIG_12_-_B7F_AVG4_ADC16384.csv
02_SinVacio_131802;13;RED95 IR95 AVG1 ADC8192;95;95;1;8192;;84.36;;97.83;0.554;0.0951;0.1717;23645.0;66181.9;100.0;0.0;0.0;SI;70.0;33.32;raw_BLOQUE_16CFG_184_SinVacio_20260602_131802_CFG013_CONFIG_13-B5F_AVG1_ADC8192.csv
02_SinVacio_131802;14;RED95 IR95 AVG1 ADC16384;95;95;1;16384;;49.81;;97.6;0.5653;0.1018;0.18;11694.9;33136.5;100.0;0.0;0.0;SI;70.0;20.41;raw_BLOQUE_16CFG_184_SinVacio_20260602_131802_CFG014_CONFIG_14-B5F_AVG1_ADC16384.csv
02_SinVacio_131802;15;RED95 IR95 AVG4 ADC8192;95;95;4;8192;;45.19;;96.14;0.6278;0.339;0.54;23522.4;66085.1;86.75;13.25;0.0;SI;70.37;25.33;raw_BLOQUE_16CFG_184_SinVacio_20260602_131802_CFG015_CONFIG_15-B5F_AVG4_ADC8192.csv
02_SinVacio_131802;16;RED95 IR95 AVG4 ADC16384;95;95;4;16384;;83.19;;97.05;0.5907;0.1206;0.2042;11306.4;32365.0;100.0;0.0;0.0;SI;70.0;43.45;raw_BLOQUE_16CFG_184_SinVacio_20260602_131802_CFG016_CONFIG_09_-_B5F_AVG4_ADC16384.csv
